# time lat lon alt
542.000 56.054323724 92.931137211 20000.000
543.000 56.054379332 92.931010778 20000.000
544.000 56.054434823 92.930884180 20000.000
545.000 56.054490196 92.930757416 20000.000
546.000 56.054545450 92.930630487 20000.000
547.000 56.054600587 92.930503394 20000.000
548.000 56.054655604 92.930376137 20000.000
549.000 56.054710503 92.930248715 20000.000
550.000 56.054765284 92.930121131 20000.000
551.000 56.054819945 92.929993383 20000.000
552.000 56.054874487 92.929865472 20000.000
553.000 56.054928910 92.929737399 20000.000
554.000 56.054983214 92.929609164 20000.000
555.000 56.055037398 92.929480767 20000.000
556.000 56.055091462 92.929352209 20000.000
557.000 56.055145407 92.929223489 20000.000
558.000 56.055199231 92.929094609 20000.000
559.000 56.055252936 92.928965569 20000.000
560.000 56.055306520 92.928836369 20000.000
561.000 56.055359983 92.928707009 20000.000
562.000 56.055413326 92.928577490 20000.000
563.000 56.055466548 92.928447812 20000.000
564.000 56.055519650 92.928317976 20000.000
565.000 56.055572630 92.928187982 20000.000
566.000 56.055625489 92.928057829 20000.000
567.000 56.055678227 92.927927520 20000.000
568.000 56.055730843 92.927797053 20000.000
569.000 56.055783338 92.927666430 20000.000
570.000 56.055835711 92.927535650 20000.000
571.000 56.055887962 92.927404714 20000.000
572.000 56.055940091 92.927273623 20000.000
573.000 56.055992097 92.927142377 20000.000
574.000 56.056043982 92.927010975 20000.000
575.000 56.056095743 92.926879419 20000.000
576.000 56.056147383 92.926747709 20000.000
577.000 56.056198899 92.926615845 20000.000
578.000 56.056250292 92.926483828 20000.000
579.000 56.056301563 92.926351658 20000.000
580.000 56.056352710 92.926219335 20000.000
581.000 56.056403734 92.926086860 20000.000
582.000 56.056454634 92.925954233 20000.000
583.000 56.056505411 92.925821454 20000.000
584.000 56.056556064 92.925688524 20000.000
585.000 56.056606593 92.925555443 20000.000
586.000 56.056656998 92.925422212 20000.000
587.000 56.056707278 92.925288831 20000.000
588.000 56.056757435 92.925155300 20000.000
589.000 56.056807467 92.925021619 20000.000
590.000 56.056857374 92.924887790 20000.000
591.000 56.056907157 92.924753812 20000.000
592.000 56.056956814 92.924619686 20000.000
593.000 56.057006347 92.924485411 20000.000
594.000 56.057055754 92.924350990 20000.000
595.000 56.057105036 92.924216421 20000.000
596.000 56.057154193 92.924081706 20000.000
597.000 56.057203224 92.923946844 20000.000
598.000 56.057252129 92.923811836 20000.000
599.000 56.057300909 92.923676683 20000.000
600.000 56.057349563 92.923541384 20000.000
601.000 56.057398090 92.923405940 20000.000
602.000 56.057446491 92.923270352 20000.000
603.000 56.057494766 92.923134620 20000.000
604.000 56.057542914 92.922998744 20000.000
605.000 56.057590936 92.922862725 20000.000
606.000 56.057638830 92.922726563 20000.000
607.000 56.057686598 92.922590258 20000.000
608.000 56.057734239 92.922453811 20000.000
609.000 56.057781752 92.922317222 20000.000
610.000 56.057829139 92.922180492 20000.000
611.000 56.057876398 92.922043620 20000.000
612.000 56.057923529 92.921906608 20000.000
613.000 56.057970532 92.921769456 20000.000
614.000 56.058017408 92.921632163 20000.000
615.000 56.058064155 92.921494731 20000.000
616.000 56.058110775 92.921357160 20000.000
617.000 56.058157266 92.921219450 20000.000
618.000 56.058203629 92.921081602 20000.000
619.000 56.058249864 92.920943615 20000.000
620.000 56.058295970 92.920805491 20000.000
621.000 56.058341947 92.920667230 20000.000
622.000 56.058387795 92.920528832 20000.000
623.000 56.058433514 92.920390297 20000.000
624.000 56.058479104 92.920251626 20000.000
625.000 56.058524565 92.920112819 20000.000
626.000 56.058569896 92.919973877 20000.000
627.000 56.058615098 92.919834801 20000.000
628.000 56.058660170 92.919695589 20000.000
629.000 56.058705113 92.919556243 20000.000
630.000 56.058749925 92.919416764 20000.000
631.000 56.058794608 92.919277151 20000.000
632.000 56.058839160 92.919137405 20000.000
633.000 56.058883582 92.918997527 20000.000
634.000 56.058927874 92.918857516 20000.000
635.000 56.058972035 92.918717373 20000.000
636.000 56.059016066 92.918577099 20000.000
637.000 56.059059966 92.918436694 20000.000
638.000 56.059103735 92.918296158 20000.000
639.000 56.059147373 92.918155492 20000.000
640.000 56.059190880 92.918014696 20000.000
641.000 56.059234255 92.917873770 20000.000
642.000 56.059277500 92.917732716 20000.000
643.000 56.059320612 92.917591532 20000.000
644.000 56.059363593 92.917450221 20000.000
645.000 56.059406443 92.917308781 20000.000
646.000 56.059449161 92.917167214 20000.000
647.000 56.059491746 92.917025519 20000.000
648.000 56.059534200 92.916883698 20000.000
649.000 56.059576521 92.916741750 20000.000
650.000 56.059618710 92.916599677 20000.000
651.000 56.059660767 92.916457478 20000.000
652.000 56.059702691 92.916315153 20000.000
